DATABASE	PRIMARY NAME	ABBREVIATION	NAMES	KEGG ID(S)	FORMULA	CHARGE
cpd12598_c0	tRNA containing 5-methylaminomethyl-2-thiouridylate	tRNA containing 5-methylaminomethyl-2-thiouridylate	tRNA containing 5-methylaminomethyl-2-thiouridylate	C04728	C21H32N3O17P2R2S	-1
cpd12599_c0	GM3	GM3	GM3|(N-Acetylneuraminyl)-D-galactosyl-D-glucosylceramide|alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,4-beta-D- glucosylceramide|N-Acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D- glucosylceramide|Neu5Ac-alpha2->3Gal-beta1->4Glc-beta1->1'Cer	C04730	C42H72N2O21R	-1
cpd12600_c0	Apo-[acetyl-CoA carboxylase]	Apo-[acetyl-CoA carboxylase]	Apo-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]|Apo-[acetyl-CoA carboxylase]	C04735	C7H13N3O2R2	0
cpd12601_c0	Apo-[methylmalonyl-CoA-carboxyltransferase]	Apo-[methylmalonyl-CoA-carboxyltransferase]	Apo-[methylmalonyl-CoA:pyruvate carboxytransferase]|Apo-[methylmalonyl-CoA-carboxyltransferase]	C04736	C7H13N3O2R2	0
cpd12602_c0	[Citrate-oxaloacetate-lyase((pro-3S)-CH2COO-->acetate)]	[Citrate-oxaloacetate-lyase((pro-3S)-CH2COO-->acetate)]	[Citrate-oxaloacetate-lyase((pro-3S)-CH2COO-->acetate)]	C04747		10000000
cpd12603_c0	Protein C-terminal S-farnesyl-L-cysteine methyl ester	Protein C-terminal S-farnesyl-L-cysteine methyl ester	Protein C-terminal S-farnesyl-L-cysteine methyl ester	C04748	C23H37N3O4R2S	0
cpd12604_c0	[[Hydroxymethylglutaryl-CoA reductase (NADPH)]kinase]	[[Hydroxymethylglutaryl-CoA reductase (NADPH)]kinase]	[[Hydroxymethylglutaryl-CoA reductase (NADPH)]kinase]	C04749		10000000
cpd12605_c0	beta-D-Galactosyl-1,3-N-acetyl-D-galactosaminyl-R	beta-D-Galactosyl-1,3-N-acetyl-D-galactosaminyl-R	beta-D-Galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-R|beta-D-Galactosyl-1,3-N-acetyl-D-galactosaminyl-R|Glycoprotein D-galactosyl-1,3-N-acetyl-D-galactosamine	C04750	C14H24NO11R	0
cpd12606_c0	Plasmenylethanolamine	Plasmenylethanolamine	O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine|Phosphatidalethanolamine|Plasmenylethanolamine|Ethanolamineplasmalogen|2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine	C04756	C8H13NO7PR2	-1
cpd12607_c0	1,2-D-Glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen	1,2-D-Glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen	1,2-D-Glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen|Procollagen alpha-D-glucosyl-1,2-beta-D-galactosyl-L-hydroxylysine	C04759	C19H33N3O13R2	0
